instance,rohanrajpal/bert-base-codemixed-uncased-sentiment,Sangramsing/whisper-large,michaellee8/wisper-base-jwt,Geotrend/bert-base-15lang-cased,lesliejd/jt-whisper,racheltong/whisper-tiny,nbroad/mt5-base-qgen,AbhirupGhosh/opus-mt-finetuned-en-hi,S-Fry/large,Helsinki-NLP/opus-mt-iir-en,damerajee/hindi-english,nbroad/mt5-small-qgen,Varosa/mbart-many-to-many,aditii09/whisper_eng_asr,bitextor/bicleaner-ai-full-en-hi,patrol90/whisper-large,Helsinki-NLP/opus-mt-en-inc,setu4993/LEALLA-base,Areeb123/En-Hi_Translation_Model,rohanrajpal/bert-base-multilingual-codemixed-cased-sentiment,monsoon-nlp/muril-adapted-local,Evan-Lin/whisper-large-v1-tw,defining/maggle,rohanrajpal/bert-base-en-hi-codemix-cased
Triple Talaq par Burbak Kuchh nahi bolega,13,18,18,13,18,18,10,14,18,21,14,10,12,18,12,18,13,12,14,13,12,18,18,13
Batao ye uss site pr se akki sir ke verdict nikaal laaye jaha he ajay ki ek bi movie hit nai,30,32,32,30,32,32,32,39,32,47,39,32,31,32,31,32,36,27,39,30,26,32,32,30
Hindu baheno par julam bardas nahi hoga @TripleTalaq Hindu daram par lago hoga hamari Hindu baheno ki soraksa ke liye,38,42,42,36,42,42,33,48,42,63,48,33,32,42,32,42,45,33,48,38,32,42,42,38
Naa bhai.. aisa nhi hai.. mere handle karne se bhi kuchh hona nhi hai.. politics se mera door door tak ka naata nhi hai,41,39,39,41,39,39,35,50,39,67,50,35,36,39,36,39,48,33,50,41,37,39,39,41
#RememberingRajiv aaj agar musalman auraten triple talaq ki wajah se itni jaleel ho rahi hai to iss ka sabse bada reason Rajib gandhi hai.,44,55,55,45,55,55,43,56,55,77,56,43,44,55,44,55,54,40,56,44,38,55,55,44
are cricket se sanyas le liya kya viru aur social service suru kardiya.khel hi bhul gaye.2 innings 0 n 0,33,37,37,33,37,37,34,40,37,53,40,34,34,37,34,37,38,29,40,33,27,37,37,33
Sohail bahi hame bhi treen kardo muje bhi shock he cricket,20,22,22,20,22,22,17,21,22,29,21,17,18,22,18,22,22,17,21,20,15,22,22,20
bhai triple talaq se aap kya samjhte hai samjhaye aap zara ..agar triple talaq pta hota apko toh aisa nhi kehte..,44,53,53,44,53,53,36,55,53,63,55,36,35,53,35,53,53,36,55,44,37,53,53,44
Bachcho ki death par politics ke bajay unke liye prayer aur unki family ko console kiya jana jyada zaruri he.. thodi humanity bhi zaruri he,42,42,42,41,42,42,37,48,42,71,48,37,37,42,37,42,47,36,48,42,30,42,42,42
"#@spn_cricket lijiye S Thakur ne phir pahni no.10 jarsi, inka kharab din chalu ho gaya..@BCCI#Slsvind",43,48,48,44,48,48,41,49,48,56,49,41,41,48,41,48,49,37,49,43,35,48,48,43
Itna hungama to #TripleTalaq par muslims me bhi nahi hua.. Jitna #RamRahimVerdict par Dharamguruao me ho raha h.. #CongressWithRamRahim,53,59,59,55,59,59,45,59,59,78,59,45,49,59,49,59,60,49,59,53,50,59,59,53
#Bollywood @amitdey10510709   Bhaag Milkha Bhaag!,22,26,26,21,26,26,15,23,26,30,23,15,18,26,18,26,21,16,23,22,19,26,26,22
bhau Bollywood ka main adda Mumbai hai...   Jaha rahne k liye heroin ki cha mud jati hai.  Aao kabhi haweli(Maharashtra) pe,48,46,46,41,46,46,37,46,46,68,46,37,38,46,38,46,47,34,46,48,34,46,46,48
Bhai kuchh bhi karna iss @SimplySajidK ke saath movie mat karna..Bollywood se nafrat ho jaati hai..Itni sadi hui ghatiya filmein banata h ye,53,53,53,52,53,53,46,60,53,81,60,46,47,53,47,53,61,43,60,53,39,53,53,53
"#veerupanti : tag line ""Cricket jo hai Anishchittaon ka khel hai """,22,25,25,22,25,25,20,28,25,34,28,20,24,25,24,25,28,21,28,22,20,25,25,22
Chayawadi baat kyu kr rhi hai madam aap..khul kr condem kegeye..mere smjh se administrator ko politics se dur rhna chahiye..desh ke liye,49,47,47,49,47,47,45,61,47,78,61,45,44,47,44,47,57,43,61,49,42,47,47,49
Abusing tweet ke liye Account suspend karte ho...   Woh bhi wo desh me... Jahan gali gali me yahi language use hota hai...   #Irony,45,47,47,45,47,47,32,47,47,60,47,32,32,47,32,47,43,40,47,45,36,47,47,45
Hindu Married men to Mr. Modi: triple talaq toh nipat gaya ab woh saat janmoon wala masla bhi nipata dijeyega  @narendramodi,40,53,53,40,53,53,31,49,53,64,49,31,34,53,34,53,47,32,49,40,37,53,53,40
"#TripleTalaq ""Modiji woh teen talaak ka matter clear ho jaaye,  toh woh saat janam wala matter bhi dekh lijiye please.""",40,46,46,41,46,46,31,49,46,61,49,31,33,46,33,46,46,34,49,40,33,46,46,40
"Muslims triple talaq ka darr dikhake apni biwiyo ka roj rape karte hn, talak- nikah- baccho ki factory.",38,45,45,36,45,45,32,43,45,59,43,32,33,45,33,45,42,29,43,38,32,45,45,38
abhi chaat k kya matlab. Jisko samjhana tha samajh gaya tum sale intrviw to saare englsh mein dete to Bollywood kaho HIndi Film indutry nahi,46,56,56,47,56,56,41,56,56,72,56,41,43,56,43,56,59,40,56,46,39,56,56,46
"Congress isame kuch nahi bolti esaliye Modi pachad Raha hai har jagah ,avasarvadi politics Congress karate hai Modi gorakshko bhi data hai",43,42,42,41,42,42,33,53,42,67,53,33,37,42,37,42,47,32,53,43,34,42,42,43
#TripleTalaq aur Burkha pe bolne ko bolo toh Anand bhais kalti maar lete hai.,27,33,33,27,33,33,23,36,33,40,36,23,23,33,23,33,34,23,36,27,25,33,33,27
Canadian ko itna bhaw matt diya kar khans khans hota hai aur baki sab bachhe hai...4 khans hi superstars hai bollywood ke baki sab stars,49,43,43,47,43,43,36,53,43,67,53,36,40,43,40,43,55,37,53,49,38,43,43,49
"kaafiron' ko 'masjid' mein 'namaz' perhtay huaay maara gyaa..bohat khoob,mashallah! #irony",39,41,41,41,41,41,34,44,41,51,44,34,37,41,37,41,45,32,44,39,35,41,41,39
Bhai Politics apni jagah par kisi bhi Hindu ladki ko Musalman kehna kaha sahi hai yaar. Ijjat sabse badi chij hai.,42,41,41,41,41,41,34,48,41,62,48,34,36,41,36,41,47,34,48,42,29,41,41,42
Ho gaya lasho pe politics Khel ke? Politicians se toh tu zyada harami hai be. BC.. Mar kyu nahi jaate kahi jaake. Sharam karo madarchodon,44,50,50,47,50,50,41,59,50,70,59,41,44,50,44,50,57,41,59,44,41,50,50,44
@jalanjalans  Bhai AAP apne sab Kharche ka Hisaab Deti hai.. Sab Jagah.. u r saying jo Party ka 80% ka pata nahi wo hisaab deti hI,49,50,50,51,50,50,45,56,50,69,56,45,42,50,42,50,54,40,56,49,44,50,50,49
yes sir kahete he na ki cricket me kuch bhi ho sakta he kal ke match me dekh bhi liya.,30,29,29,31,29,29,23,33,29,40,33,23,23,29,23,29,31,23,33,30,23,29,29,30
Yeh kya vahiyaat kisam ki ODI cricket hai? #SLvIND,19,22,22,21,22,22,17,25,22,31,25,17,18,22,18,22,23,17,25,19,16,22,22,19
Tuje pata Hai kolkta sonagachi main 90% prostitute Teri bahan hai Jo triple talaq or hallala or suvaro ki tarah 10 bachee hone ki wajah se,42,52,52,42,52,52,37,53,52,72,53,37,37,52,37,52,49,37,53,42,39,52,52,42
Muslim bahno ke haq ke liye bohot Josh se ladh rahe they show bhi kiya #Triple talaq  Ek aurat ki ismat lutne wala Abhi bhi baba hi hai,47,52,52,45,52,52,41,58,52,75,58,41,37,52,37,52,55,38,58,47,37,52,52,47
Pakistani sabiq leg-spinner Abdul Qadir ne kaha hai ke qoumi Cricket team ko World Eleven ke khilaaf series ko aasan na samjha jaye#AnSaR,44,49,49,43,49,49,39,54,49,70,54,39,38,49,38,49,49,35,54,44,35,49,49,44
"#AAP   Ek apeel ye bhi kar dete ki kripya Hindu mujhe vote na den.,    Tab hoti Different Politics.",32,35,35,32,35,35,27,35,35,50,35,27,29,35,29,35,35,27,35,32,26,35,35,32
@ArvindKejriwal  ji ... kya aapne triple talaq ka swagat kiya ki nhi.....,31,33,33,32,33,33,22,35,33,43,35,22,22,33,22,33,31,29,35,31,27,33,33,31
Ek debate program me inhone Kaha tha ki Yogi Jaise Sanki ko Party se Nikal do. Ab Yogi inka role model hai. Politics kya kya na karwaye.,42,45,45,42,45,45,41,47,45,72,47,41,42,45,42,45,47,34,47,42,37,45,45,42
Triple Talaq jab jashoda ko milega,11,14,14,11,14,14,9,12,14,19,12,9,11,14,11,14,11,9,12,11,10,14,14,11
"vese bhi padhkar karna kya he in netaon ke bachho ko, aana to inhe politics me hi he.",32,34,34,32,34,34,27,32,34,45,32,27,29,34,29,34,32,26,32,32,25,34,34,32
Sharjeel Khan K Khilaf Faisla Sakht Palesi Ka Akaas Hai'Cricket Me Bad Unwaani Ki Mashkon Ko Qatai Bardasht Nai Krenge. Najam RP_BebarG Blch,53,56,56,54,56,56,46,61,56,73,61,46,50,56,50,56,61,47,61,53,54,56,56,53
News channel hai kya be. Jab dheko chalu ho jaata hai. Railway ke Pahele toh tera tweet aa jaata hai. Cricket khel bhai tu.,41,47,47,41,47,47,38,52,47,64,52,38,36,47,36,47,49,36,52,41,37,47,47,41
Ek sham Yateem bachon ke naam #charity #Event #pressconfrence #bollywood #Dkshroff #mustakkhan #sunilpaul #Mumbaipic.twitter.com/gvJ37T5bTA,59,62,62,57,62,62,48,62,62,82,62,48,54,62,54,62,60,48,62,59,50,62,62,59
Jab shiv sena wale mumbai main north indian ko pitte hai.wo bhi kya desh bhagti hai in ki ?. Sab vote bank ki politics hai,43,41,41,43,41,41,34,50,41,68,50,34,36,41,36,41,45,34,50,43,32,41,41,43
#Cricket_News: Umar Akmal Aur Kamran Akmal Ko Har Iss Coach Se Takleef Hai Jo Inhain Na Khilai....* #WaqarYounis,40,44,44,42,44,44,35,52,44,63,52,35,37,44,37,44,47,37,52,40,45,44,44,40
#RakshaBandhan #Contest In #Bollywood Jodi mein se aisi kaunsi jodi hai jisne kisi movie mein Bhai-Behen ka role nahi kiya hai??? #Vadodarapic.twitter.com/2jM5G3pT6e,65,70,70,66,70,70,56,78,70,101,78,56,58,70,58,70,77,57,78,65,55,70,70,65
#anuragbhadoriya  ji aap log ke  upar dhikaar hai politics  liye kuch bhi bech sakte ho yaar.... soch aisa rakho maa or mulk ek hai,47,52,52,47,52,52,41,54,52,66,54,41,41,52,41,52,55,39,54,47,38,52,52,47
